TARİH,SAAT,CEH.3 ALT2 SET ISI_FARK
2024-11-11,02:39:44,169
2024-11-11,02:40:44,173
2024-11-11,02:41:44,176
2024-11-11,02:42:44,179
2024-11-11,02:43:44,182
2024-11-11,02:45:44,188
2024-11-11,02:46:44,191
2024-11-11,02:47:44,193
2024-11-11,02:48:44,196
2024-11-11,02:49:44,199
2024-11-11,02:50:44,202
2024-11-11,02:53:44,210
2024-11-11,02:54:44,213
2024-11-11,02:55:44,216
2024-11-11,02:56:44,219
2024-11-11,02:57:44,221
2024-11-11,02:58:44,224
2024-11-11,02:59:44,226
2024-11-11,03:00:45,229
2024-11-11,03:01:44,231
2024-11-11,03:02:45,233
2024-11-11,03:03:45,236
2024-11-11,03:04:44,238
2024-11-11,03:05:45,241
2024-11-11,03:06:44,243
2024-11-11,03:08:45,247
2024-11-11,02:38:44,166
2024-11-11,02:35:44,156
2024-11-11,02:34:44,152
2024-11-11,02:33:44,148
2024-11-11,00:00:14,86
2024-11-11,00:01:14,82
2024-11-11,00:03:14,72
2024-11-11,00:05:14,68
2024-11-11,00:06:14,64
2024-11-11,00:07:14,62
2024-11-11,00:08:14,59
2024-11-11,00:11:14,51
2024-11-11,00:12:14,56
2024-11-11,00:13:14,60
2024-11-11,00:14:14,58
2024-11-11,00:17:14,58
2024-11-11,00:19:14,55
2024-11-11,00:20:14,51
2024-11-11,00:21:14,54
2024-11-11,00:22:14,56
2024-11-11,00:23:14,53
2024-11-11,00:26:14,51
2024-11-11,00:27:14,52
2024-11-11,00:18:14,57
2024-11-11,02:19:45,99
2024-11-11,02:20:44,101
2024-11-11,02:21:44,104
2024-11-11,02:22:44,107
2024-11-11,02:23:44,110
2024-11-11,02:24:44,113
2024-11-11,02:25:44,116
2024-11-11,02:27:44,122
2024-11-11,02:28:44,126
2024-11-11,02:29:44,132
2024-11-11,02:30:44,136
2024-11-11,02:31:44,140
2024-11-11,02:32:44,145
2024-11-11,02:37:44,163
2024-11-12,22:41:03,420
2024-11-12,22:42:03,393
2024-11-12,22:43:03,367
2024-11-12,22:44:03,345
2024-11-12,22:46:03,308
2024-11-12,22:47:03,293
2024-11-12,22:48:03,278
2024-11-12,22:51:03,239
2024-11-12,22:52:03,228
2024-11-12,22:54:03,205
2024-11-12,22:55:03,194
2024-11-12,22:56:03,184
2024-11-12,22:57:02,174
2024-11-12,22:58:03,164
2024-11-12,22:59:03,154
2024-11-12,23:00:03,144
2024-11-12,23:01:02,135
2024-11-12,23:02:03,127
2024-11-12,23:03:02,118
2024-11-12,23:05:03,102
2024-11-12,22:50:03,251
2024-11-12,23:06:03,96
2024-11-12,23:08:03,84
2024-11-12,23:10:03,76
2024-11-12,23:16:52,162
2024-11-12,23:17:52,163
2024-11-12,23:18:52,146
2024-11-12,23:19:52,127
2024-11-12,23:20:52,111
2024-11-12,23:22:52,87
2024-11-12,23:23:52,78
2024-11-12,23:24:52,72
2024-11-12,23:07:03,89
2024-11-13,22:38:57,315
2024-11-13,22:39:57,325
2024-11-13,22:40:57,338
2024-11-13,22:41:57,351
2024-11-13,22:43:58,375
2024-11-13,22:44:58,386
2024-11-13,22:45:58,398
2024-11-13,22:46:58,409
2024-11-13,22:47:58,419
2024-11-13,22:49:57,440
2024-11-13,22:50:58,450
2024-11-13,22:54:57,490
2024-11-13,23:32:57,669
2024-11-13,23:33:57,671
2024-11-13,23:34:57,674
2024-11-13,23:35:58,675
2024-11-13,23:36:58,676
2024-11-13,23:37:58,676
2024-11-13,23:39:57,680
2024-11-13,23:40:58,681
2024-11-13,23:41:58,682
2024-11-13,23:42:58,684
2024-11-13,23:43:58,686
2024-11-13,23:46:58,687
2024-11-13,23:47:58,690
2024-11-13,23:48:58,691
2024-11-13,23:49:57,692
2024-11-13,23:50:57,692
2024-11-13,23:51:58,693
2024-11-13,23:52:57,695
2024-11-13,23:53:58,695
2024-11-13,23:54:58,695
2024-11-13,23:55:57,695
2024-11-13,23:56:58,697
2024-11-13,23:57:57,698
2024-11-13,23:58:58,693
2024-11-13,23:30:57,668
2024-11-13,22:51:58,460
2024-11-13,23:29:57,665
2024-11-13,23:26:57,660
2024-11-13,22:55:58,500
2024-11-13,22:56:58,509
2024-11-13,22:57:58,519
2024-11-13,22:58:58,528
2024-11-13,22:59:58,536
2024-11-13,23:00:58,545
2024-11-13,23:01:57,553
2024-11-13,23:03:57,569
2024-11-13,23:04:57,576
2024-11-13,23:05:58,584
2024-11-13,23:06:57,591
2024-11-13,23:07:58,598
2024-11-13,23:08:58,604
2024-11-13,23:10:57,614
2024-11-13,23:11:57,619
2024-11-13,23:14:57,631
2024-11-13,23:15:57,633
2024-11-13,23:16:58,637
2024-11-13,23:17:57,640
2024-11-13,23:18:57,641
2024-11-13,23:20:57,648
2024-11-13,23:21:57,650
2024-11-13,23:22:57,652
2024-11-13,23:23:57,655
2024-11-13,23:24:57,657
2024-11-13,23:28:57,663
2024-11-14,22:18:00,372
2024-11-14,22:19:00,344
2024-11-14,22:20:00,318
2024-11-14,22:21:00,296
2024-11-14,22:22:00,275
2024-11-14,22:23:00,257
2024-11-14,22:24:00,240
2024-11-14,22:25:00,224
2024-11-14,22:26:01,208
2024-11-14,22:27:00,194
2024-11-14,22:28:00,179
